##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	Nt1_S1_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	46562613
Sequences flagged as poor quality	0
Sequence length	20-76
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.989975197483012	32.0	32.0	32.0	32.0	32.0
2	31.114350949333534	32.0	32.0	32.0	32.0	32.0
3	31.16030990357006	32.0	32.0	32.0	32.0	32.0
4	31.26015213106704	32.0	32.0	32.0	32.0	32.0
5	31.29693185388887	32.0	32.0	32.0	32.0	32.0
6	34.423967357673845	36.0	36.0	36.0	32.0	36.0
7	34.49644587171257	36.0	36.0	36.0	32.0	36.0
8	34.35632499834148	36.0	36.0	36.0	32.0	36.0
9	34.59503509822355	36.0	36.0	36.0	32.0	36.0
10-11	34.52336346544813	36.0	36.0	36.0	32.0	36.0
12-13	34.54148263758307	36.0	36.0	36.0	32.0	36.0
14-15	34.5409934253475	36.0	36.0	36.0	32.0	36.0
16-17	34.498307418872734	36.0	36.0	36.0	32.0	36.0
18-19	34.501123068415424	36.0	36.0	36.0	32.0	36.0
20-21	34.46756890044928	36.0	36.0	36.0	32.0	36.0
22-23	34.435554603519066	36.0	36.0	36.0	32.0	36.0
24-25	34.39181224360031	36.0	36.0	36.0	32.0	36.0
26-27	34.30956194408911	36.0	36.0	36.0	32.0	36.0
28-29	34.27525154199091	36.0	36.0	36.0	32.0	36.0
30-31	34.233976853254376	36.0	36.0	36.0	32.0	36.0
32-33	34.19427245690122	36.0	36.0	36.0	32.0	36.0
34-35	34.20730563238088	36.0	36.0	36.0	32.0	36.0
36-37	34.19714822025669	36.0	36.0	36.0	32.0	36.0
38-39	34.16645498995233	36.0	36.0	36.0	32.0	36.0
40-41	34.13464156923194	36.0	36.0	36.0	32.0	36.0
42-43	34.117733213863865	36.0	36.0	36.0	32.0	36.0
44-45	34.08141376182598	36.0	36.0	36.0	32.0	36.0
46-47	34.06892210013737	36.0	36.0	36.0	32.0	36.0
48-49	34.01672080436923	36.0	36.0	36.0	32.0	36.0
50-51	33.963489328339264	36.0	36.0	36.0	32.0	36.0
52-53	33.91203274859956	36.0	36.0	36.0	32.0	36.0
54-55	33.85788709609761	36.0	36.0	36.0	32.0	36.0
56-57	33.77337694792586	36.0	36.0	36.0	32.0	36.0
58-59	33.704951457813124	36.0	36.0	36.0	29.5	36.0
60-61	33.64403569650681	36.0	36.0	36.0	27.0	36.0
62-63	33.56550468154087	36.0	36.0	36.0	27.0	36.0
64-65	33.50880963875185	36.0	36.0	36.0	27.0	36.0
66-67	33.45219768995444	36.0	36.0	36.0	27.0	36.0
68-69	33.422610181557154	36.0	36.0	36.0	27.0	36.0
70-71	33.397893458868	36.0	36.0	36.0	27.0	36.0
72-73	33.403299998305435	36.0	36.0	36.0	27.0	36.0
74-75	33.81238389926144	36.0	36.0	36.0	29.5	36.0
76	34.55437218169366	36.0	32.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.0030587736611202843
11101	2	0.09274975994890866
11101	3	0.10242351775001168
11101	4	-0.005331085607089392
11101	5	0.0694543776345462
11101	6	0.011594748965343626
11101	7	0.1048293204573909
11101	8	0.06436211451913465
11101	9	0.0754194412668241
11101	10-11	0.047809525906338024
11101	12-13	0.04635668851843633
11101	14-15	0.11532204765835274
11101	16-17	0.09968048263330331
11101	18-19	0.10375426283849265
11101	20-21	0.08885510229204385
11101	22-23	0.04665093555517075
11101	24-25	0.082655699647745
11101	26-27	0.043693410503664154
11101	28-29	0.08217026775874814
11101	30-31	0.13425909764329447
11101	32-33	0.11208165691764549
11101	34-35	0.18948824675543108
11101	36-37	0.10071188113747098
11101	38-39	0.1752171703803569
11101	40-41	0.10184110268436086
11101	42-43	0.254061959007565
11101	44-45	0.20823639006727035
11101	46-47	0.1997678104999281
11101	48-49	0.22714249230597972
11101	50-51	0.2216871248806953
11101	52-53	0.1631236004935559
11101	54-55	0.21675952357308859
11101	56-57	0.2775886135066514
11101	58-59	0.27230149634584677
11101	60-61	0.24981376288955914
11101	62-63	0.3753963507354001
11101	64-65	0.24632425846044015
11101	66-67	0.16414966276125398
11101	68-69	0.1885246084695993
11101	70-71	0.25456002110402665
11101	72-73	0.2072094404546121
11101	74-75	0.05513649053632719
11101	76	0.07600328362437381
11102	1	0.001775514376905818
11102	2	0.04795362786287427
11102	3	0.009208855826205564
11102	4	-0.011212893383323319
11102	5	0.08809234247636866
11102	6	-0.04773643472100275
11102	7	0.06381508100038502
11102	8	0.0030337029538500815
11102	9	-0.08477413978765469
11102	10-11	0.04105923624717178
11102	12-13	0.03498196211005222
11102	14-15	0.02975609631303655
11102	16-17	0.052739788761677175
11102	18-19	-0.01059956289891062
11102	20-21	0.05965964642046373
11102	22-23	0.041428675477000354
11102	24-25	0.04153153320925185
11102	26-27	0.06290592237522219
11102	28-29	0.007451987920688907
11102	30-31	0.01127423956930329
11102	32-33	0.023701889848290136
11102	34-35	0.048988334241151676
11102	36-37	0.04079533574217464
11102	38-39	0.08195630774866203
11102	40-41	0.08343879520042208
11102	42-43	0.023469245958480656
11102	44-45	8.798868564952045E-5
11102	46-47	0.045435627274763135
11102	48-49	0.08859648217225669
11102	50-51	0.15443679809182242
11102	52-53	0.1417172243167002
11102	54-55	0.2120456087916125
11102	56-57	0.1794185348976498
11102	58-59	0.24281085964639715
11102	60-61	0.20075201867851433
11102	62-63	0.01905528381858801
11102	64-65	0.0947545596038637
11102	66-67	0.18481509438149146
11102	68-69	0.19995324382033175
11102	70-71	0.18232732567543763
11102	72-73	0.0702165670540964
11102	74-75	0.13021294387051086
11102	76	0.07670867870882603
11103	1	3.5569060191420476E-5
11103	2	-0.045812280854267584
11103	3	0.010452140578635749
11103	4	-0.03260730920827015
11103	5	-0.013021251618930307
11103	6	-0.07243561203628701
11103	7	-0.027625672271881285
11103	8	-0.011059027050485781
11103	9	0.05240011503966713
11103	10-11	-0.029219438864167557
11103	12-13	-0.03003304281428143
11103	14-15	0.017117676317212727
11103	16-17	0.116252555696164
11103	18-19	0.0322649219806479
11103	20-21	0.03822539008093173
