##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Nt2_S2_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	115704518
Sequences flagged as poor quality	0
Sequence length	35-76
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.660988562261675	32.0	32.0	32.0	32.0	32.0
2	30.30574089596052	32.0	32.0	32.0	21.0	32.0
3	30.3665504487906	32.0	32.0	32.0	21.0	32.0
4	30.464560649222012	32.0	32.0	32.0	32.0	32.0
5	30.355215126517358	32.0	32.0	32.0	21.0	32.0
6	33.71552470405693	36.0	36.0	36.0	21.0	36.0
7	33.7464056243681	36.0	36.0	36.0	27.0	36.0
8	33.52729170869542	36.0	36.0	36.0	21.0	36.0
9	33.8630642927876	36.0	36.0	36.0	32.0	36.0
10-11	33.72457960111808	36.0	36.0	36.0	26.5	36.0
12-13	33.683386244260575	36.0	36.0	36.0	26.5	36.0
14-15	33.61816360965265	36.0	36.0	36.0	21.0	36.0
16-17	33.54758184118619	36.0	36.0	36.0	21.0	36.0
18-19	33.52008886118	36.0	36.0	36.0	21.0	36.0
20-21	33.48842014967816	36.0	36.0	36.0	21.0	36.0
22-23	33.45588769489537	36.0	36.0	36.0	21.0	36.0
24-25	33.42580301401887	36.0	36.0	36.0	21.0	36.0
26-27	33.38990798094851	36.0	36.0	36.0	21.0	36.0
28-29	33.36019577904469	36.0	36.0	36.0	21.0	36.0
30-31	33.30342861373832	36.0	36.0	36.0	21.0	36.0
32-33	33.256856806576906	36.0	36.0	36.0	21.0	36.0
34-35	33.24593702555332	36.0	36.0	36.0	21.0	36.0
36-37	33.20790392973758	36.0	36.0	36.0	21.0	36.0
38-39	33.1706079879569	36.0	36.0	36.0	17.5	36.0
40-41	33.10199922555847	36.0	36.0	36.0	14.0	36.0
42-43	33.050450425733565	36.0	36.0	36.0	14.0	36.0
44-45	32.9671810063885	36.0	36.0	36.0	14.0	36.0
46-47	32.923569429132016	36.0	36.0	36.0	14.0	36.0
48-49	32.85446388573882	36.0	36.0	36.0	14.0	36.0
50-51	32.7640413497148	36.0	36.0	36.0	14.0	36.0
52-53	32.692006550352204	36.0	32.0	36.0	14.0	36.0
54-55	32.63071464329084	36.0	32.0	36.0	14.0	36.0
56-57	32.54648210858619	36.0	32.0	36.0	14.0	36.0
58-59	32.487437761409666	36.0	32.0	36.0	14.0	36.0
60-61	32.451533155961556	36.0	32.0	36.0	14.0	36.0
62-63	32.424348466319	36.0	32.0	36.0	14.0	36.0
64-65	32.36851458224621	36.0	32.0	36.0	14.0	36.0
66-67	32.32696033490514	36.0	32.0	36.0	14.0	36.0
68-69	32.28410259027477	36.0	32.0	36.0	14.0	36.0
70-71	32.25492077708826	36.0	32.0	36.0	14.0	36.0
72-73	32.22067155200163	36.0	32.0	36.0	14.0	36.0
74-75	32.13704586619835	36.0	32.0	36.0	14.0	36.0
76	30.627085970079683	36.0	27.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.015486743962554783
11101	2	-0.01316719541988931
11101	3	0.04410329933458357
11101	4	0.10941868620600559
11101	5	-0.049045603715914154
11101	6	0.04295603455935293
11101	7	-0.025675334525537608
11101	8	-0.014761377213439175
11101	9	-0.04123223539216525
11101	10-11	-0.031207052913735822
11101	12-13	-0.03215318870208961
11101	14-15	-0.048991515177448264
11101	16-17	0.0424967331311521
11101	18-19	0.032249398157148335
11101	20-21	0.05185288999291515
11101	22-23	0.06264643474948883
11101	24-25	0.05733552557729382
11101	26-27	0.07681216994634354
11101	28-29	0.04316073939384779
11101	30-31	0.04433651313996023
11101	32-33	0.07940754527915317
11101	34-35	0.06129248316752012
11101	36-37	0.02594219731946623
11101	38-39	0.11647162614459461
11101	40-41	-0.03202827798214258
11101	42-43	0.030150062370481123
11101	44-45	0.093531027131597
11101	46-47	0.14432894644926364
11101	48-49	0.13715876663319193
11101	50-51	0.12017831767970932
11101	52-53	0.13088087379694713
11101	54-55	0.14152330795040768
11101	56-57	0.24002655765232106
11101	58-59	0.2955105844251946
11101	60-61	0.2728494386798843
11101	62-63	0.20982275420930563
11101	64-65	0.21027992735916712
11101	66-67	0.21037321852173818
11101	68-69	0.1162083411354331
11101	70-71	0.15433311244385806
11101	72-73	0.16093975108643122
11101	74-75	0.15271491562282336
11101	76	0.49844977229444254
11102	1	0.06541285175539358
11102	2	-0.005971828994585593
11102	3	0.029212262098752717
11102	4	0.11349875287580957
11102	5	0.1100845976627518
11102	6	0.15131497124305326
11102	7	0.19633381202756084
11102	8	0.16902821874001717
11102	9	0.12470704687162026
11102	10-11	0.04121029441752455
11102	12-13	0.06671444355259837
11102	14-15	0.12797909893242831
11102	16-17	0.09497817528650643
11102	18-19	0.15251596056033634
11102	20-21	0.13869488594986024
11102	22-23	0.10444779396062387
11102	24-25	0.12095237881487009
11102	26-27	0.09627790520917046
11102	28-29	0.14567574646405035
11102	30-31	0.16791436531899961
11102	32-33	0.14634592422165582
11102	34-35	0.13309402996220143
11102	36-37	0.14856504397157977
11102	38-39	0.14899755875389786
11102	40-41	0.1531881081414852
11102	42-43	0.2201605093310519
11102	44-45	0.13416980424765512
11102	46-47	0.15775497250850634
11102	48-49	0.20406111261451088
11102	50-51	0.23428375261921985
11102	52-53	0.29398603622497177
11102	54-55	0.2986662896949781
11102	56-57	0.29191780519816746
11102	58-59	0.31152738275506664
11102	60-61	0.25135643976334876
11102	62-63	0.2042981353375808
11102	64-65	0.27296900695075976
11102	66-67	0.19413075657457313
11102	68-69	0.2175780004504162
11102	70-71	0.2277966990107032
11102	72-73	0.19944079802529302
11102	74-75	0.28014339260991505
11102	76	0.4832863568570218
11103	1	0.03816917667281672
11103	2	0.08999149108388238
11103	3	0.05177466418161103
11103	4	0.11714428578651948
11103	5	0.13946695609723392
11103	6	0.23110512379868453
11103	7	0.09007566476530826
11103	8	0.07175439671586048
11103	9	0.07276781810433164
11103	10-11	0.12977204437788714
11103	12-13	0.13075537061016007
11103	14-15	0.11382182002929397
11103	16-17	0.2064900557864675
11103	18-19	0.1760857314317974
11103	20-21	0.13616832867979412
